datetime,OPEN,HIGH,LOW,CLOSE,BC-BO,BH-BL,BH-BO,BO-BL,S&P500_Close,vix_close,CLOSE_15m_tick_1,CLOSE_15m_tick_2,CLOSE_15m_tick_3,CLOSE_15m_tick_4,CLOSE_15m_tick_5,CLOSE_15m_tick_6,CLOSE_15m_tick_7,CLOSE_15m_tick_8,CLOSE_30m_tick_1,CLOSE_30m_tick_2,CLOSE_30m_tick_3,CLOSE_30m_tick_4,CLOSE_30m_tick_5,CLOSE_30m_tick_6,CLOSE_30m_tick_7,CLOSE_30m_tick_8,day_of_month,hour_of_day,day_of_week
2005-05-04 11:00:00,1.29555,1.29595,1.29495,1.2951,-0.00045,0.0009999999999998899,0.00039999999999995595,0.0005999999999999339,1175.650024,13.850000381469728,1.2955,1.2946,1.2949,1.2949,1.2945,1.2937,1.2937,1.2932,1.2947,1.2946,1.2949,1.2937,1.2932,1.2946,1.2959,1.2958,4,11,2
2005-05-04 12:00:00,1.2951,1.296,1.29455,1.2951,0.0,0.0014499999999999513,0.0009000000000001229,0.0005499999999998284,1175.650024,13.850000381469728,1.2942,1.2947,1.2951,1.2947,1.2955,1.2946,1.2949,1.2949,1.2945,1.2947,1.2947,1.2946,1.2949,1.2937,1.2932,1.2946,4,12,2
2005-05-04 13:00:00,1.2951,1.296,1.2927,1.2957,0.0006,0.0033000000000000806,0.0009000000000001229,0.0023999999999999577,1175.650024,13.850000381469728,1.2958,1.2959,1.2949,1.2945,1.2942,1.2947,1.2951,1.2947,1.2955,1.2959,1.2945,1.2947,1.2947,1.2946,1.2949,1.2937,4,13,2
2005-05-04 14:00:00,1.2957,1.2962,1.29375,1.29543,-0.00027,0.0024500000000000632,0.0004999999999999449,0.0019500000000001183,1175.650024,13.850000381469728,1.2953,1.2954,1.2951,1.2955,1.2958,1.2959,1.2949,1.2945,1.2958,1.2954,1.2955,1.2959,1.2945,1.2947,1.2947,1.2946,4,14,2
2005-05-04 15:00:00,1.29543,1.29543,1.29273,1.29353,-0.0019,0.0027000000000001467,0.0,0.0027000000000001467,1175.650024,13.850000381469728,1.2941,1.2954,1.295,1.2958,1.2953,1.2954,1.2951,1.2955,1.2945,1.2954,1.2958,1.2954,1.2955,1.2959,1.2945,1.2947,4,15,2
2005-05-04 16:00:00,1.29343,1.29383,1.29173,1.29353,0.0001,0.0020999999999999908,0.00039999999999995595,0.0017000000000000348,1175.650024,13.850000381469728,1.2944,1.2954,1.2951,1.2945,1.2941,1.2954,1.295,1.2958,1.2941,1.2954,1.2945,1.2954,1.2958,1.2954,1.2955,1.2959,4,16,2
2005-05-04 17:00:00,1.29353,1.29443,1.29353,1.29403,0.0005,0.0008999999999999009,0.0008999999999999009,0.0,1175.650024,13.850000381469728,1.2951,1.2956,1.2946,1.2941,1.2944,1.2954,1.2951,1.2945,1.2947,1.2956,1.2941,1.2954,1.2945,1.2954,1.2958,1.2954,4,17,2
2005-05-04 18:00:00,1.29403,1.29483,1.29393,1.29413,0.0001,0.0008999999999999009,0.0007999999999999119,9.999999999998899e-05,1175.650024,13.850000381469728,1.2929,1.2938,1.2943,1.2947,1.2951,1.2956,1.2946,1.2941,1.2936,1.2938,1.2947,1.2956,1.2941,1.2954,1.2945,1.2954,4,18,2
2005-05-04 19:00:00,1.29413,1.29513,1.29403,1.29433,0.0002,0.0010999999999998789,0.0009999999999998899,9.999999999998899e-05,1175.650024,13.850000381469728,1.2939,1.2936,1.2937,1.2936,1.2929,1.2938,1.2943,1.2947,1.294,1.2936,1.2936,1.2938,1.2947,1.2956,1.2941,1.2954,4,19,2
2005-05-04 20:00:00,1.29433,1.29503,1.29393,1.29453,0.0002,0.0010999999999998789,0.0006999999999999229,0.00039999999999995595,1175.650024,13.850000381469728,1.2946,1.2938,1.294,1.294,1.2939,1.2936,1.2937,1.2936,1.2949,1.2938,1.294,1.2936,1.2936,1.2938,1.2947,1.2956,4,20,2
2005-05-04 21:00:00,1.29463,1.2954,1.29423,1.2953,0.00067,0.0011700000000001154,0.0007700000000001594,0.00039999999999995595,1175.650024,13.850000381469728,1.2952,1.2943,1.294,1.2949,1.2946,1.2938,1.294,1.294,1.2949,1.2943,1.2949,1.2938,1.294,1.2936,1.2936,1.2938,4,21,2
2005-05-04 22:00:00,1.2952,1.2953,1.2945,1.2948,-0.0004,0.0007999999999999119,9.999999999998899e-05,0.0006999999999999229,1175.650024,13.850000381469728,1.2944,1.2944,1.2946,1.2949,1.2952,1.2943,1.294,1.2949,1.2946,1.2944,1.2949,1.2943,1.2949,1.2938,1.294,1.2936,4,22,2
2005-05-04 23:00:00,1.2947,1.2952,1.2941,1.2943,-0.0004,0.0010999999999998789,0.0004999999999999449,0.0005999999999999339,1175.650024,13.850000381469728,1.2947,1.2946,1.2945,1.2946,1.2944,1.2944,1.2946,1.2949,1.2948,1.2946,1.2946,1.2944,1.2949,1.2943,1.2949,1.2938,4,23,2
2005-05-05 00:00:00,1.2943,1.2945,1.2935,1.2937,-0.0006,0.0009999999999998899,0.00019999999999997797,0.0007999999999999119,1172.630005,13.979999542236328,1.2953,1.2955,1.2948,1.2948,1.2947,1.2946,1.2945,1.2946,1.2953,1.2955,1.2948,1.2946,1.2946,1.2944,1.2949,1.2943,5,0,3
2005-05-05 01:00:00,1.2936,1.2945,1.293,1.2934,-0.0002,0.0015000000000000568,0.0008999999999999009,0.000600000000000156,1172.630005,13.979999542236328,1.2955,1.2948,1.2956,1.2953,1.2953,1.2955,1.2948,1.2948,1.2953,1.2948,1.2953,1.2955,1.2948,1.2946,1.2946,1.2944,5,1,3
2005-05-05 02:00:00,1.2934,1.2936,1.2933,1.2933,-0.0001,0.000300000000000189,0.00019999999999997797,0.00010000000000021103,1172.630005,13.979999542236328,1.2942,1.2945,1.2948,1.2953,1.2955,1.2948,1.2956,1.2953,1.2942,1.2945,1.2953,1.2948,1.2953,1.2955,1.2948,1.2946,5,2,3
2005-05-05 03:00:00,1.2933,1.2941,1.2933,1.2938,0.0005,0.0008000000000001339,0.0008000000000001339,0.0,1172.630005,13.979999542236328,1.2944,1.2937,1.2937,1.2942,1.2942,1.2945,1.2948,1.2953,1.2933,1.2937,1.2942,1.2945,1.2953,1.2948,1.2953,1.2955,5,3,3
2005-05-05 04:00:00,1.2938,1.2952,1.2938,1.2952,0.0014,0.0013999999999998458,0.0013999999999998458,0.0,1172.630005,13.979999542236328,1.2936,1.2936,1.2943,1.2933,1.2944,1.2937,1.2937,1.2942,1.2934,1.2936,1.2933,1.2937,1.2942,1.2945,1.2953,1.2948,5,4,3
2005-05-05 05:00:00,1.2952,1.2959,1.2947,1.2955,0.0003,0.0012000000000000899,0.000700000000000145,0.0004999999999999449,1172.630005,13.979999542236328,1.2938,1.2935,1.2934,1.2934,1.2936,1.2936,1.2943,1.2933,1.294,1.2935,1.2934,1.2936,1.2933,1.2937,1.2942,1.2945,5,5,3
2005-05-05 06:00:00,1.2955,1.29665,1.2951,1.29595,0.00045,0.0015500000000001624,0.0011499999999999844,0.000400000000000178,1172.630005,13.979999542236328,1.2941,1.2942,1.2938,1.294,1.2938,1.2935,1.2934,1.2934,1.2943,1.2942,1.294,1.2935,1.2934,1.2936,1.2933,1.2937,5,6,3
